"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","8198","Login with valid credentials","","Sat May 02 02:51:25 UTC 2026","passed","Sat May 02 02:51:33 UTC 2026","","User Login Functionality","Login with valid credentials",""
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","2331","Login with invalid credentials","","Sat May 02 02:51:34 UTC 2026","passed","Sat May 02 02:51:36 UTC 2026","","User Login Functionality","Login with invalid credentials",""
