"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","7555","Login with valid credentials","","Thu May 14 03:35:52 UTC 2026","passed","Thu May 14 03:35:59 UTC 2026","","User Login Functionality","Login with valid credentials",""
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","2388","Login with invalid credentials","","Thu May 14 03:35:59 UTC 2026","passed","Thu May 14 03:36:02 UTC 2026","","User Login Functionality","Login with invalid credentials",""
