"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","11728","Login with valid credentials","","2026-06-14","passed","2026-06-14","","User Login Functionality","Login with valid credentials",""
"  As a user, I want to be able to log in to the application
  so that I can access my personalized dashboard.","1962","Login with invalid credentials","","2026-06-14","passed","2026-06-14","","User Login Functionality","Login with invalid credentials",""
